Job,Female Total Workers,Male Total Workers,Role: Who Dominates More?,Female Median Earnings,Male Median Earnings,Earnings: Who Dominates More?
"    Explosives workers, ordnance handling experts, and blasters",442,7741,Male Total Workers,"71,406","54,860",Female Median Earnings
    Underground mining machine operators,891,37656,Male Total Workers,"61,024","65,641",Male Median Earnings
"    Roustabouts, oil and gas",30,6288,Male Total Workers,"33,958","47,423",Male Median Earnings
    Other extraction workers,1619,55950,Male Total Workers,"42,730","54,983",Male Median Earnings
"    First-line supervisors of mechanics, installers, and repairers",16288,219327,Male Total Workers,"54,807","65,691",Male Median Earnings
"    Computer, automated teller, and office machine repairers",12786,114793,Male Total Workers,"45,855","47,328",Male Median Earnings
    Radio and telecommunications equipment installers and repairers,12417,124206,Male Total Workers,"47,010","59,276",Male Median Earnings
    Avionics technicians,1164,12260,Male Total Workers,"44,763","62,183",Male Median Earnings
"    Electric motor, power tool, and related repairers",925,18847,Male Total Workers,"31,033","52,237",Male Median Earnings
"    Electrical and electronics installers and repairers, transportation equipment",142,1561,Male Total Workers,"29,337","61,528",Male Median Earnings
"    Electrical and electronics repairers, industrial and utility",430,12235,Male Total Workers,"47,092","73,221",Male Median Earnings
"    Electronic equipment installers and repairers, motor vehicles",317,6575,Male Total Workers,"41,339","39,093",Female Median Earnings
    Audiovisual equipment installers and repairers,1305,28134,Male Total Workers,"34,345","45,652",Male Median Earnings
    Security and fire alarm systems installers,1103,48825,Male Total Workers,"43,961","49,111",Male Median Earnings
    Aircraft mechanics and service technicians,6985,134928,Male Total Workers,"54,648","66,741",Male Median Earnings
    Automotive body and related repairers,2330,114581,Male Total Workers,"34,639","44,932",Male Median Earnings
    Automotive glass installers and repairers,462,14556,Male Total Workers,"33,048","40,893",Male Median Earnings
    Automotive service technicians and mechanics,11725,709102,Male Total Workers,"34,831","40,728",Male Median Earnings
